Filename,Warm,Cool,Bright,Mid,Dark,Red,Orange,Brown,Gold,Yellow,Lime,Green,Mint,SeaBlue,Sky,Blue,Purple,Pink,Black,White,Grey
landscape (1).jpg,0.06956383069996232,0.9304361693000377,0.11683799017444037,0.8674418293794429,0.015720180446116717,0.00012574154873798383,0.0008020103726674865,0.00027495278086216737,0.0006938322293774535,0.0048066222431670585,0.06280984644920788,0.42546821241213634,0.07639832684471712,0.029056089745582415,0.02843422085003152,0.0037176911053941105,1.5698265046398475e-05,5.082507594230002e-05,0.000944382756652645,0.018051761376423878,0.34834978594405325
landscape (10).jpg,0.46488584474885847,0.5351141552511416,0.08265696347031963,0.5453510273972603,0.3719920091324201,0.0024457762557077625,0.1591695205479452,0.08271974885844749,0.16139269406392695,0.05072488584474886,0.008433219178082192,2.5684931506849317e-05,0.0,0.0,2.853881278538813e-06,0.0,0.0,0.0,0.13365867579908675,1.7123287671232875e-05,0.4014098173515982
landscape (100).jpg,0.8887714778507958,0.1112285221492042,0.6582857563915028,0.26396769862236097,0.07774654498613628,0.005924966705237648,0.8196556448267581,0.019799876645634564,0.04299186188677598,0.0003639226688208196,3.493220968058861e-05,9.551776084535947e-07,4.0936183219439775e-07,5.45815776259197e-07,2.729078881295985e-07,0.0,0.0,2.729078881295985e-07,0.05396944523284501,0.020007696002445254,0.0372491976508089
landscape (1000).jpg,0.7634765625,0.2365234375,0.4266465807174888,0.47793757006726456,0.09541584921524664,0.24787345852017936,0.48986564602017935,2.1896020179372196e-05,0.011943841087443946,0.00012962443946188342,0.0,0.0,0.0,0.0,0.0,0.0553119744955157,0.0001594030269058296,0.013642096412556053,0.03664080016816144,0.09342769058295965,0.0509835692264574
landscape (10000).jpg,0.927128287793667,0.072871712206333,0.3511291815628192,0.5427237614913176,0.10614705694586313,0.10532191649642492,0.6365024897854954,0.060029366700715014,0.11862551072522982,0.0041687946884576095,6.384065372829418e-06,0.0,0.0,0.0,0.0,0.0,4.229443309499489e-05,0.0024738253319713994,0.03843765960163432,0.007060776302349336,0.027330981869254343
landscape (10001).jpg,0.6829252895507191,0.31707471044928087,0.1036629756904671,0.47046557210131096,0.425871452208222,0.10255008272877689,0.3036568664884816,0.10788036146111747,0.1269349624538628,0.031640575283186964,0.0018419243986254295,0.00042866233931526025,4.174621356751941e-05,1.527300496372661e-05,6.312842051673666e-05,0.00012014763904798269,0.0001761486572483136,0.00842051673666794,0.21390250731831487,0.041278859615629375,0.0610482372406771
landscape (10002).jpg,0.7391612041009682,0.26083879589903175,0.33819508099489304,0.6389446271718673,0.022860291833239618,0.11744291586750165,0.5185598853824053,0.037996605634851556,0.054854815145749726,0.009503965655803158,0.0007067314728514978,2.439218525736323e-05,0.0,0.0,0.0,9.949443986556054e-06,0.0,9.628494180538118e-05,0.0,0.07534039936426262,0.18546405490552523
landscape (10003).jpg,0.29748310387984983,0.7025168961201502,0.07481226533166459,0.4294430538172716,0.4957446808510638,0.1526770963704631,0.13169586983729661,0.0013416770963704631,0.008227784730913642,0.00033917396745932415,5.506883604505632e-05,2.6282853566958698e-05,1.2515644555694618e-05,6.508135168961201e-05,0.018896120150187736,0.013585732165206508,0.00011639549436795995,0.003146433041301627,0.23247309136420527,0.004376720901126408,0.43296495619524406
landscape (10004).jpg,0.5075908627717391,0.49240913722826085,0.3778048573369565,0.4551384171195652,0.16705672554347825,0.13035241168478262,0.22733101222826088,0.013490149456521739,0.049486243206521736,0.019812330163043478,0.012449898097826087,0.010506114130434783,0.001041100543478261,0.0009026834239130435,0.009607676630434783,0.16322265625,0.032842221467391304,0.05466881793478261,0.07210088315217392,0.09162788722826087,0.11055791440217391
landscape (10005).jpg,0.7125735736001131,0.28742642639988686,0.654600669895362,0.3349145397341629,0.010484790370475113,0.00760039592760181,0.3283371040723982,0.0860291908229638,0.22258775805995476,0.06799813525169683,1.8780048076923078e-05,0.0,0.0,0.0,5.523543552036199e-06,0.11014608667986425,0.0,2.20941742081448e-06,1.8780048076923078e-05,0.15854227057409503,0.018713765554298642
